ncid,vote_method_2020
AA183320,Absentee
AA183568,Absentee
AA183572,Absentee
AA183694,Absentee
AA184069,Absentee
AA184131,In-Person
AA184170,Absentee
AA184306,Absentee
AA184322,Absentee
AA184356,Absentee
AA184364,Absentee
AA184695,Absentee
AA184702,Absentee
AA184823,Absentee
AA184888,Absentee
AA185036,Absentee
AA185080,Absentee
AA185092,In-Person
AA185152,Absentee
AA185443,Absentee
AA185504,Absentee
AA185606,Absentee
AA185619,Absentee
AA185758,Absentee
AA185843,Absentee
AA185935,In-Person
AA185966,Absentee
AA186364,Absentee
AA186441,Absentee
AA186447,Absentee
AA186466,Absentee
AA186722,In-Person
AA186853,Absentee
AA187167,Absentee
AA187266,Absentee
AA187368,Absentee
AA187595,Absentee
AA187667,Absentee
AA187668,Absentee
AA187723,Absentee
AA187771,Absentee
AA187952,Absentee
AA188057,Absentee
AA188058,Absentee
AA188098,Absentee
AA188187,In-Person
AA188288,Absentee
AA188378,In-Person
AA188514,Absentee
AA188532,In-Person
AA188720,In-Person
AA188989,In-Person
AA189011,Absentee
AA189012,Absentee
AA189153,In-Person
AA189229,In-Person
AA189586,Absentee
AA189605,In-Person
AA189636,In-Person
AA189812,In-Person
AA189858,Absentee
AA189943,Absentee
AA189944,Absentee
AA190287,Absentee
AA190288,Absentee
AA190469,Absentee
AA190562,Absentee
AA190610,Absentee
AA190649,Absentee
AA190681,Absentee
AA190952,Absentee
AA191087,Absentee
AA191467,In-Person
AA191727,Absentee
AA192491,Absentee
AA192541,Absentee
AA192603,Absentee
AA192678,Absentee
AA192694,Absentee
AA192695,Absentee
AA192759,Absentee
AA192873,Absentee
AA192876,Absentee
AA193289,Absentee
AA193293,Absentee
AA193502,Absentee
AA193567,Absentee
AA193769,In-Person
AA193818,Absentee
AA194204,Absentee
AA194830,In-Person
AA194978,Absentee
AA195020,Absentee
AA195075,Absentee
AA195272,In-Person
AA195384,Absentee
AA195735,Absentee
AA195736,Absentee
AA195913,Absentee
AA195981,Absentee
AA196362,Absentee
AA19654,Absentee
AA196819,Absentee
AA196827,Absentee
AA197058,Absentee
AA197204,Absentee
AA197442,Absentee
AA197443,Absentee
AA197665,Absentee
AA197815,Absentee
AA197888,Absentee
AA197889,Absentee
AA197992,Absentee
AA198085,In-Person
AA198103,Absentee
AA198110,In-Person
AA198121,Absentee
AA198232,Absentee
AA198259,Absentee
AA198431,Absentee
AA198485,Absentee
AA198824,In-Person
AA199028,In-Person
AA199044,Absentee
AA199357,Absentee
AA199872,Absentee
AA199999,Absentee
AA200020,Absentee
AA200285,Absentee
AA200469,Absentee
AA200657,Absentee
AA200760,Absentee
AA200778,In-Person
AA200952,Absentee
AA201028,Absentee
AA201034,Absentee
AA201044,Absentee
AA201219,Absentee
AA201313,Absentee
AA201332,Absentee
AA201393,Absentee
AA201579,Absentee
AA201582,Absentee
AA201638,Absentee
AA201709,Absentee
AA201710,Absentee
AA201929,Absentee
AA202174,Absentee
AA202272,Absentee
AA202313,Absentee
AA202700,Absentee
AA203093,Absentee
AA203642,Absentee
AA203993,Absentee
AA204133,Absentee
AA204366,In-Person
AA204487,In-Person
AA204902,Absentee
AA205260,Absentee
AA205588,In-Person
AA205978,Absentee
AA206026,Absentee
AA206228,Absentee
AA206402,Absentee
AA206678,Absentee
AA206704,Absentee
AA206918,Absentee
AA207053,Absentee
AA207178,Absentee
AA207344,Absentee
AA207676,Absentee
AA207725,In-Person
AA208314,Absentee
AA209407,Absentee
AA209604,Absentee
AA209742,Absentee
AA209989,Absentee
AA210251,Absentee
AA211115,Absentee
AA211212,Absentee
AA211275,Absentee
AA211277,Absentee
AA211420,Absentee
AA211561,Absentee
AA212710,In-Person
AA213449,Absentee
AA213510,Absentee
AA213577,Absentee
AA214440,Absentee
AA214660,Absentee
AA215788,Absentee
AA21747,Absentee
AA23334,Absentee
AA24588,Absentee
AA24708,Absentee
AA56363,Absentee
AA58002,Absentee
AA59485,Absentee
AA59627,Absentee
AA61460,Absentee
AA61462,Absentee
AA61810,Absentee
AA61937,Absentee
AA62176,Absentee
